replicate,k,subsample_size,ari_vs_primary_on_sample,nmi_vs_primary_on_sample,exact_label_match_fraction_after_permutation,permutation_mapping
285,6,632,0.7768662062611049,0.7882423185814812,0.8987341772151899,"{""0"": 2, ""1"": 1, ""2"": 4, ""3"": 0, ""4"": 3, ""5"": 5}"
286,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
286,3,632,1.0,1.0,1.0,"{""0"": 2, ""1"": 0, ""2"": 1}"
286,4,632,0.9560627935719338,0.9412694887990766,0.9841772151898734,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 0}"
286,5,632,0.7005136472918411,0.7393365731801251,0.8591772151898734,"{""0"": 4, ""1"": 2, ""2"": 1, ""3"": 3, ""4"": 0}"
286,6,632,0.9015052467243317,0.9015473466714302,0.9556962025316456,"{""0"": 4, ""1"": 2, ""2"": 5, ""3"": 0, ""4"": 3, ""5"": 1}"
287,2,632,0.9685549484705039,0.9411329119896553,0.9920886075949367,"{""0"": 0, ""1"": 1}"
287,3,632,0.7986811947092328,0.804814971308062,0.9382911392405063,"{""0"": 1, ""1"": 0, ""2"": 2}"
287,4,632,0.9386418327465093,0.9245181215016783,0.9778481012658228,"{""0"": 2, ""1"": 1, ""2"": 0, ""3"": 3}"
287,5,632,0.8815964979691057,0.8685306554425557,0.9525316455696202,"{""0"": 1, ""1"": 2, ""2"": 0, ""3"": 3, ""4"": 4}"
287,6,632,0.4971231163525306,0.6387749577929543,0.6724683544303798,"{""0"": 1, ""1"": 4, ""2"": 5, ""3"": 2, ""4"": 3, ""5"": 0}"
288,2,632,1.0,1.0,1.0,"{""0"": 1, ""1"": 0}"
288,3,632,0.8016735640631217,0.8068870496332786,0.9382911392405063,"{""0"": 0, ""1"": 1, ""2"": 2}"
288,4,632,0.9644986279751813,0.950970946930017,0.9873417721518988,"{""0"": 0, ""1"": 3, ""2"": 2, ""3"": 1}"
288,5,632,0.6046131260947764,0.6802202904412469,0.7816455696202531,"{""0"": 4, ""1"": 2, ""2"": 0, ""3"": 1, ""4"": 3}"
288,6,632,0.5249531797696122,0.6420633388245724,0.6756329113924051,"{""0"": 5, ""1"": 0, ""2"": 3, ""3"": 1, ""4"": 4, ""5"": 2}"
289,2,632,0.9873618279998477,0.9722811651523068,0.9968354430379747,"{""0"": 0, ""1"": 1}"
289,3,632,0.9559074917631153,0.9225918834481722,0.9841772151898734,"{""0"": 1, ""1"": 0, ""2"": 2}"
289,4,632,0.9459406603245979,0.9269770464360085,0.9794303797468354,"{""0"": 1, ""1"": 2, ""2"": 3, ""3"": 0}"
289,5,632,0.7907155747624327,0.8083702201416869,0.9145569620253164,"{""0"": 0, ""1"": 2, ""2"": 4, ""3"": 3, ""4"": 1}"
289,6,632,0.8981773301810293,0.9089184195373545,0.9604430379746836,"{""0"": 4, ""1"": 5, ""2"": 1, ""3"": 3, ""4"": 0, ""5"": 2}"
290,2,632,0.17265439168315477,0.24299604485458368,0.7088607594936709,"{""0"": 1, ""1"": 0}"
290,3,632,0.9615631148706568,0.9357252639181264,0.9873417721518988,"{""0"": 0, ""1"": 2, ""2"": 1}"
290,4,632,0.9559045108630718,0.9430995710579104,0.9841772151898734,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 0}"
290,5,632,0.9183576042716007,0.904602528713459,0.9683544303797469,"{""0"": 1, ""1"": 0, ""2"": 3, ""3"": 4, ""4"": 2}"
290,6,632,0.4775670618877857,0.6052788933814176,0.634493670886076,"{""0"": 0, ""1"": 4, ""2"": 5, ""3"": 1, ""4"": 3, ""5"": 2}"
291,2,632,0.981072802094499,0.9611826300568643,0.995253164556962,"{""0"": 1, ""1"": 0}"
291,3,632,0.8071382756211811,0.8124986100681597,0.939873417721519,"{""0"": 1, ""1"": 0, ""2"": 2}"
