k,seed,ari_vs_primary,nmi_vs_primary
3,53,0.8004774600349934,0.8037228246429741
3,54,1.0,1.0
3,55,0.9820954468702409,0.9732852964659444
3,56,0.7887055373447774,0.7865593136758083
3,57,0.7887055373447774,0.7865593136758082
3,58,1.0,1.0
3,59,1.0,1.0
3,60,1.0,1.0
3,61,1.0,1.0
3,62,0.9776555182914337,0.9679818439539967
3,63,0.9820954468702409,0.9732852964659444
3,64,1.0,1.0
3,65,1.0,1.0
3,66,0.995502219265798,0.9916114101861238
3,67,1.0,1.0
3,68,0.7887055373447774,0.7865593136758083
3,69,1.0,1.0
3,70,0.7887055373447774,0.7865593136758082
3,71,0.8001600451016186,0.8031636926819153
3,72,0.9820954468702409,0.9732852964659444
3,73,1.0,1.0
3,74,0.7887055373447774,0.7865593136758083
3,75,0.9776555182914337,0.9679818439539967
3,76,1.0,1.0
3,77,1.0,1.0
3,78,1.0,1.0
3,79,0.8001600451016186,0.8031636926819153
3,80,1.0,1.0
3,81,0.7887055373447774,0.7865593136758082
3,82,0.9791303762426153,0.9655289936031616
3,83,0.995502219265798,0.991611410186124
3,84,0.7891149706474636,0.7924434364659774
3,85,0.8036190947062685,0.8095646193468112
3,86,0.7891149706474636,0.7924434364659771
3,87,0.8036190947062685,0.8095646193468112
3,88,0.7913505284096671,0.7911030796819585
3,89,0.7887055373447774,0.7865593136758082
3,90,1.0,1.0
3,91,0.7891149706474636,0.7924434364659771
3,92,0.9776555182914337,0.9679818439539967
3,93,0.9776555182914337,0.9679818439539967
3,94,1.0,1.0
3,95,0.7853373594163007,0.7899992735913517
3,96,0.7887055373447774,0.7865593136758082
3,97,0.9776555182914337,0.9679818439539967
3,98,1.0,1.0
3,99,0.7887055373447774,0.7865593136758082
4,0,0.9739290060857295,0.9681149863699039
4,1,0.9743657880022875,0.9670387526786153
4,2,0.9747923988599088,0.9659117811563174
4,3,0.9775583064203698,0.9715965872883496
4,4,0.9853425218716118,0.9792122692580651
4,5,0.9747923988599088,0.9659117811563174
4,6,0.9739290060857295,0.9681149863699039
4,7,0.9739290060857295,0.9681149863699039
4,8,0.9739290060857295,0.9681149863699037
4,9,0.9739290060857295,0.9681149863699039
4,10,0.9739290060857295,0.9681149863699039
4,11,0.9752521843260319,0.9673700378218502
4,12,0.9745232601836216,0.9658483621778493
4,13,0.9739290060857295,0.9681149863699039
4,14,0.9745232601836216,0.9658483621778493
4,15,0.9683029785032549,0.956824749253847
4,16,0.9683029785032549,0.9568247492538468
4,17,0.9900870714571671,0.9837999073424848
4,18,0.9713245247353863,0.9612866532619233
4,19,0.9683029785032549,0.956824749253847
4,20,0.9747923988599088,0.9659117811563174
4,21,0.9739290060857295,0.9681149863699039
4,22,0.9713245247353863,0.9612866532619233
4,23,0.9747923988599088,0.9659117811563174
4,24,0.9745232601836216,0.9658483621778493
4,25,0.9747923988599088,0.9659117811563176
4,26,0.9739290060857295,0.9681149863699039
4,27,0.9747923988599088,0.9659117811563174
4,28,0.9739290060857295,0.9681149863699039
4,29,0.9747923988599088,0.9659117811563174
4,30,0.9900870714571671,0.9837999073424848
4,31,0.9739290060857295,0.9681149863699039
4,32,0.9739290060857295,0.9681149863699037
4,33,0.9739290060857295,0.9681149863699037
4,34,0.9739290060857295,0.9681149863699037
4,35,0.9683029785032549,0.956824749253847
4,36,0.9900870714571671,0.9837999073424848
4,37,0.9713245247353863,0.9612866532619233
4,38,0.357610653315294,0.47561944398765976
4,39,0.9747923988599088,0.9659117811563174
4,40,0.9747923988599088,0.9659117811563174
4,41,0.9739290060857295,0.9681149863699037
4,42,0.9739290060857295,0.9681149863699037
4,43,0.9747923988599088,0.9659117811563176
4,44,0.9739290060857295,0.9681149863699039
4,45,0.9742909236042613,0.9682026428160929
4,46,0.9747923988599088,0.9659117811563176
4,47,0.9713245247353863,0.9612866532619233
4,48,0.9747923988599088,0.9659117811563174
4,49,0.9739290060857295,0.9681149863699039
4,50,0.9747923988599088,0.9659117811563174
4,51,0.9745232601836216,0.9658483621778493
4,52,0.9739290060857295,0.9681149863699037
4,53,1.0,1.0
4,54,0.9747923988599088,0.9659117811563176
4,55,0.9745232601836216,0.9658483621778493
4,56,0.9739290060857295,0.9681149863699037
4,57,0.9747923988599088,0.9659117811563174
4,58,0.9743657880022875,0.9670387526786152
4,59,0.9853425218716118,0.9792122692580651
4,60,0.3581076952837146,0.47529543431886856
4,61,0.9739290060857295,0.9681149863699039
4,62,1.0,1.0
4,63,0.9713245247353863,0.9612866532619233
4,64,0.9664507598155105,0.95879373496039
4,65,0.9747923988599088,0.9659117811563174
4,66,0.9747923988599088,0.9659117811563176
4,67,0.977956502284819,0.9716692619777434
4,68,0.9739290060857295,0.9681149863699039
4,69,0.9850465437718613,0.9812226584100503
4,70,0.9739290060857295,0.9681149863699039
4,71,0.9747923988599088,0.9659117811563176
